example_id,context_id,domain,context,question,claim,claim_gold_label,existing_atom_count,gold_atom_count,gold_atom_1,gold_atom_1_nli,gold_atom_2,gold_atom_2_nli,gold_atom_3,gold_atom_3_nli,gold_atom_4,gold_atom_4_nli,gold_atom_5,gold_atom_5_nli,decomposition_complete,faithful_to_claim,annotation_status,annotator_id,review_notes
finance_stress_0111,devfs_b6_fin_002,finance,"Zorunlu Deprem Sigortası, depremin doğrudan neden olduğu maddi bina zararları ile deprem sonucu meydana gelen yangın, infilak, tsunami ve yer kaymasının sigortalı binada oluşturduğu hasarları poliçe limitleri içinde karşılar. Temeller, ana duvarlar, bağımsız bölümleri ayıran ortak duvarlar, tavan ve tabanlar, merdivenler, asansörler, çatılar, bacalar ve benzeri tamamlayıcı bölümler teminat kapsamında değerlendirilebilir. Buna karşılık evdeki taşınır eşyalar, bedeni zararlar, manevi tazminat, iş durması, kira kaybı ve alternatif konut giderleri zorunlu poliçenin kapsamına girmez. Sigorta, binanın tamamen veya kısmen zarar görmesi hâlinde uygulanabilir. Poliçe limiti üzerindeki bina değeri veya kapsam dışındaki zararlar için ayrıca ihtiyari sigorta seçenekleri değerlendirilebilir. Teminat tutarı poliçede belirtilen sınırlarla bağlıdır ve binanın piyasa değerinin tamamını karşılamak zorunda değildir.","Zorunlu Deprem Sigortası binadaki hangi zararları karşılar, hangi kayıpları karşılamaz?",Zorunlu Deprem Sigortası taşınır eşya ve manevi tazminat zararlarını karşılar. Binadaki deprem hasarı poliçe kapsamına girmez.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0132,devv2_ma_fin_009,finance,"Borçlanma Araçları Piyasasında devlet iç borçlanma senetleri ve özel sektör borçlanma araçları için farklı piyasa yapıcılığı sistemleri uygulanabilir. Devlet iç borçlanma senetlerinde piyasa yapıcısı kuruluşlar ile sistemin esasları Hazine ve Maliye Bakanlığı tarafından belirlenir. Piyasa yapıcılar sorumlu oldukları menkul kıymetlerde belirlenen saatlerde çift taraflı alış ve satış kotasyonu vermekle yükümlüdür. Kotasyon tamamen veya kısmen gerçekleştiğinde ya da iptal edildiğinde, belirlenen süre içinde yeni emir girilmesi gerekir. Özel sektör borçlanma araçlarında piyasa yapıcılığı yapmak isteyen yatırım kuruluşları taahhütnameyle başvurur; Borsa, işlem hacmi, temerrüt durumu, geçmiş performans ve işlem limiti gibi ölçütleri değerlendirir. Bir kuruluş birden fazla araçta piyasa yapıcısı olabilir ve aynı araç için birden fazla piyasa yapıcısı görevlendirilebilir. Yükümlülükler araç ve piyasa yapıcılığı programına göre belirlenir. Uygulama piyasa likiditesini ve düzenli fiyat oluşumunu desteklemeyi amaçlar.",Piyasa yapıcıların kotasyon yükümlülüğü ve görevlendirilme koşulları nelerdir?,Piyasa yapıcı alış veya satış taraflarından birinde kotasyon sunar. Başvuruda geçmiş işlem performansı değerlendirme dışında kalır.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0146,devfs_b2_fin_001,finance,"Finansal kiralama şirketlerinin faaliyetleri 6361 sayılı Kanun ve ilgili yönetmelik çerçevesinde düzenlenir. Finansal kiralama sözleşmesinde kiralayan, kiracının talebi ve seçimi üzerine bir malı üçüncü bir kişiden veya kiracının kendisinden satın alabilir, başka bir yolla temin edebilir ya da daha önce mülkiyetine geçirmiş olabilir. Kiralayan daha sonra bu malın zilyetliğini, maldan her türlü faydayı sağlamak üzere ve kira bedeli karşılığında kiracıya bırakır. Sözleşmenin merkezinde nakit paranın doğrudan kiracıya verilmesi değil, belirli bir malın kullanımının finansman yoluyla sağlanması bulunur. Malın seçimi kiracıdan gelebilirken, sözleşme kapsamında malı temin eden ve kullanımını kira bedeli karşılığında devreden taraf kiralayandır. Faaliyet gösteren şirketler BDDK’nın kuruluş listelerinde ayrıca yayımlanır. Bu çerçeve, finansal kiralamayı belirli bir malın kullanımına bağlı finansman modeli olarak genel amaçlı nakit krediden ayırır.",Finansal kiralama sözleşmesinde mal nasıl temin edilir ve kullanım hakkı kiracıya nasıl bırakılır?,Finansal kiralamada işlem nakit kredi aktarımıyla tamamlanır. Sözleşme konusu malı kiracı kendi adına temin eder.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0151,devfs_b3_fin_004,finance,"Sigortacılık ve Özel Emeklilik Düzenleme ve Denetleme Kurumu, sigortacılık ile özel emeklilik alanlarının düzenlenmesi ve denetlenmesinden sorumludur. Kurum, sigorta ettirenlerin, sigortalıların, hak sahiplerinin ve bireysel emeklilik katılımcılarının hak ve menfaatlerinin korunmasına yönelik çalışmalar yürütür. Sektörde faaliyet gösteren kuruluşlar hakkında inceleme ve denetim yapabilir, mevzuatın uygulanmasını takip edebilir ve görev alanına ilişkin raporlar hazırlayabilir. Kurumun düzenleyici işlevi, piyasadaki bütün ticari kararları şirketler adına vermek anlamına gelmez. Sigorta ürünlerinin satışı şirketler ve yetkili aracılar tarafından gerçekleştirilir; Kurum ise sektörün güvenli, istikrarlı ve mevzuata uygun işlemesine yönelik çerçeveyi oluşturur ve gözetir. Bireysel bir uyuşmazlıkta mahkemelerin yerine geçerek her olay için kesin tazminat kararı veren genel bir yargı mercii değildir. Denetim ve düzenleme çalışmaları, sektörün mali yapısının ve katılımcılara karşı yükümlülüklerin mevzuata uygun yürütülmesini destekler.",SEDDK hangi alanlarda görev yapar ve düzenleyici rolünün sınırları nelerdir?,SEDDK borsa şirketlerinin günlük fiyatlarını belirleyen bir piyasa işletmecisidir. Sigortacılık denetimi başka bir kuruma bırakılmıştır.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0160,devv2_ma_fin_006,finance,"Yatırım fonları, tasarruf sahiplerinden katılma payı karşılığında toplanan varlıkların profesyonel biçimde yönetildiği kolektif yatırım yapılarıdır. Fonun türü, portföyün ağırlıklı olarak hangi varlıklardan oluştuğunu gösterir ve yatırımcının risk ile getiri özelliklerini değerlendirmesine yardımcı olur. Borçlanma araçları, hisse senedi ve kıymetli maden şemsiye fonlarında fon toplam değerinin en az yüzde sekseninin ilgili varlık grubuna yatırılması gerekir. Para piyasası fonlarının portföyü, vadesine en fazla 184 gün kalmış likit araçlardan oluşur ve ağırlıklı ortalama vadesi en fazla 45 gündür. Serbest şemsiye fonların katılma payları yalnız nitelikli yatırımcılara satılır. Fon sepeti fonları başka yatırım fonları ve borsa yatırım fonlarının paylarına yatırım yapar. Fonun getirisi portföydeki varlıkların performansına bağlıdır; fon türü tek başına anapara veya belirli getiri garantisi oluşturmaz. Yatırımcı fonun izahnamesi ile yatırımcı bilgi formunu birlikte incelemelidir.","Yatırım fonunun türü, fonun portföy yapısı ve kimlere satılabileceği hakkında ne gösterir?",Serbest fon payları perakende yatırımcılara açık biçimde satılır. Para piyasası fonları uzun vadeli ve likit olmayan araçlardan oluşur.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0168,devfs_b4_fin_004,finance,"Gayrimenkul sertifikaları, bir gayrimenkul projesinin belirli bağımsız bölümlerini veya bu bölümlerin belirli alan birimlerini temsil edecek biçimde ihraç edilebilir. Sertifikalar halka arz yoluyla ya da halka arz edilmeksizin nitelikli yatırımcılara satılabilir ve düzenleme kapsamında borsada işlem görmeleri gerekir. Yeterli sertifikayı biriktirerek projedeki bağımsız bölümün teslimini istemek asli edim olarak adlandırılır. Konut veya ticari alan teslimini tercih etmeyen yatırımcı için sertifikaların nakit karşılığının ödenmesi ise tali edimdir. Düzenleme, tali edimi seçen yatırımcıya en az sertifikaların ihraç değerinin ödenmesini öngörür. İhraçtan sağlanan fonlar, inşaat ilerleme raporlarında belirtilen tamamlanma oranına göre ihraççıya aktarılır. Böylece proje finansmanı ile yatırımcı hakları birlikte düzenlenir. Sertifikaların borsada işlem görmesi, yatırımcının proje tamamlanmadan önce alım veya satım yapabilmesine imkân verir.",Gayrimenkul sertifikalarında asli ve tali edim ne anlama gelir? İhraçtan elde edilen gelirler nasıl kullanılır?,"Nakit karşılık almak asli edim, bağımsız bölüm teslimi tali edimdir. İhraç gelirleri inşaat ilerlemesinden bağımsız biçimde tek seferde aktarılır.",contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0171,devfs_b2_fin_004,finance,"Tasarruf finansman şirketleri, müşterileriyle sözleşme kurmadan önce belirli bilgilendirme yükümlülüklerini yerine getirir. Şirket, sözleşmede bulunması gereken asgari hususları içeren ön bilgilendirme formunu sözleşmenin kurulmasından en az bir gün önce müşteriye iletmekle yükümlüdür. Bu süre müşterinin sözleşme koşullarını inceleyebilmesine imkân tanır. Müşterinin sözleşme kapsamındaki tasarruf ödemelerini geciktirmesi veya durdurması hâlinde sonuçlar sözleşmede yer alan hükümlere göre belirlenir. Şirket, müşteriye yapılacak finansman ödemesini, diğer adıyla tahsisatı, erteleyebilir veya sözleşmede belirlenen esaslar çerçevesinde sözleşmeyi tek taraflı olarak feshedebilir. Ödeme aksamasının sonucu her durumda tahsisatın hemen yapılması değildir. Yetkili şirketlerin bilgileri BDDK tarafından kamuoyuna duyurulur. Ön bilgilendirme formu, kurulacak sözleşmede yer alması gereken asgari hususları müşterinin imzadan önce inceleyebilmesini sağlar. Formun sözleşme anında ilk kez sunulması yeterli değildir.",Tasarruf finansman sözleşmesinden önce tüketiciye hangi bilgiler verilir? Ödemeler aksarsa ne olabilir?,Ön bilgilendirme sözleşme kurulduktan sonra sunulur. Gecikmiş ödemeler tahsisat tarihini erkene çeker.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0186,devv2_fin_foreign,finance,"Yabancı yatırım fonları, Türkiye dışında kurulmuş yatırım fonları veya kolektif yatırım kuruluşlarıdır. Bu kuruluşların yatırımcıya sunduğu yapı ve tabi olduğu yükümlülükler, kurulduğu ülkenin mevzuatına göre değişebilir. Vergilendirme, kamuyu aydınlatma, portföy sınırlamaları, düzenleyici kurumların yetkileri ve fon giderleri ülkeler arasında farklılık gösterebilir. Bu farklılıklar, yabancı fonların başka bir ülkede halka arzı ve satışında ek düzenleme veya tedbir uygulanmasına yol açabilir. Bir fonun yurtdışında kurulmuş olması, paylarının Türkiye’de kendiliğinden ve sınırsız biçimde satılabileceği anlamına gelmez. Satış ve tanıtım süreçlerinde ev sahibi ülkenin yatırımcıyı koruyan kurallarına uyulması gerekir.",Yabancı yatırım fonlarının Türkiye’de tanıtılması ve satılması hangi kurallara bağlıdır?,Bütün yabancı yatırım fonları aynı vergi ve portföy kurallarına tabidir. Düzenleyici kurumlar satışlarına sınırlama getiremez.,contradicted,,,,,,,,,,,,,,,pending,,
finance_stress_0187,devfs_b3_fin_002,finance,"Türkiye Sigorta Birliği, 5684 sayılı Sigortacılık Kanunu kapsamında kurulan kamu kurumu niteliğinde bir meslek kuruluşudur. Birliğin amacı sigortacılık ve reasürans mesleklerinin gelişmesine katkı sağlamak, üyeler arasında dayanışmayı güçlendirmek ve haksız rekabeti önlemeye yönelik çalışmalar yürütmektir. Türkiye’de faaliyet gösteren sigorta ve reasürans şirketleri, kuruluşlarını tamamladıktan veya ruhsat aldıktan sonra kanunda belirtilen süre içinde Birliğe üye olmak zorundadır. Birlik sektörün ortak sorunları hakkında görüş oluşturabilir, meslek ilkelerinin geliştirilmesine katkı sunabilir ve üyeleri ilgilendiren konularda çalışmalar yapabilir. Bununla birlikte sigorta şirketlerine faaliyet ruhsatı veren veya bireysel hasar uyuşmazlıklarında mahkeme yerine kesin hüküm kuran kurum değildir. Düzenleyici ve denetleyici yetkiler ilgili kamu otoritelerine aittir. Birlik, üyeler arasında bilgi paylaşımını ve sektörün ortak mesleki standartlarının geliştirilmesini destekleyen çalışmalar da yürütebilir.","Türkiye Sigorta Birliğinin hukuki niteliği, üyelik yapısı ve temel işlevleri nelerdir?",Türkiye Sigorta Birliği sigorta şirketlerine faaliyet ruhsatı verir. Bireysel hasar uyuşmazlıklarında mahkeme yerine kesin karar verir.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0188,devv2_repair_fin_003,finance,"Ödeme kuruluşları, 6493 sayılı Kanun kapsamındaki ödeme hizmetlerini sunmak üzere Türkiye Cumhuriyet Merkez Bankasından faaliyet izni alan kuruluşlardır. Bir kuruluş yalnız izin belgesinde yer alan hizmetleri yürütebilir. Ödeme hesabının işletilmesi, para transferi, ödeme aracının kabulü, fatura ödemesine aracılık ve ödeme emri başlatma gibi hizmetler mevzuatta ayrı faaliyet türleri olarak düzenlenir. Ödeme kuruluşları mevduat veya katılım fonu kabul edemez ve topladıkları müşteri fonlarını kendi finansman ihtiyaçları için kullanamaz. Müşteri fonlarının korunmasına ilişkin hesap ve güvence yükümlülükleri bulunur. Faaliyet izni bulunmayan bir kişinin ödeme hizmeti sunması yasaktır. Kuruluşlar bilgi sistemleri, iç kontrol, risk yönetimi, güvenlik ve raporlama şartlarına uymalı; izin kapsamındaki değişiklikler için de düzenleyici kuruma başvurmalıdır.",Ödeme kuruluşlarının faaliyet izni ve müşteri fonlarına ilişkin temel sınırlar nelerdir?,Ödeme kuruluşları faaliyet izni olmadan her türlü finansal hizmeti sunabilir. Müşteri fonlarını kendi varlıklarıyla serbestçe birleştirebilir.,contradicted,2,,,,,,,,,,,,,,pending,,
finance_stress_0021,devfs_b2_fin_005,finance,"Kredi kartlarında yıllık üyelik ücreti, sözleşmede bu ücretin alınabileceğinin belirtilmesi koşuluyla tahsil edilebilir. Bununla birlikte bankalar, yıllık üyelik ücreti bulunmayan bir kredi kartı türünü müşterilerine sunmak zorundadır. Kart hiç kullanılmamışsa yıllık üyelik ücreti alınamaz. Kesintisiz olarak en az 180 gün hareket görmeyen kredi kartı hareketsiz kart kabul edilir ve hareketsiz kaldığı sürece bu karta yıllık üyelik ücreti yansıtılamaz. Sanal kredi kartlarından ve banka kartlarından da yıllık üyelik ücreti alınmaz. Bir takvim yılında kayıp veya çalıntı gibi nedenlerle gerçekleştirilen ilk iki kart yenilemesi ücretsizdir; ikiden fazla yenileme talebinde ücret alınabilir. Ek kartın üyelik ücreti ise asıl kart ücretinin yarısını aşamaz. Bu kurallar, kart türü ve kullanım durumuna göre ücret alınabilecek ve alınamayacak hâlleri birbirinden ayırır.","Kredi kartı üyelik ücreti hangi kartlardan alınabilir, hangi durumlarda alınamaz?",Bankalar ücretsiz bir kredi kartı türü sunmalıdır. Hiç kullanılmamış karttan ilk yıldan itibaren üyelik ücreti alınabilir.,partially_supported,2,,,,,,,,,,,,,,pending,,
