example_id,context_id,domain,gold_label,n_atoms,atomization_status,comparison_bucket,claim,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7__pred_label,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__mdeberta_base_2mil7__is_correct,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli__pred_label,K2-ATOM-ASSISTED-ZS-PILOT-v1.1__xlmr_large_xnli__is_correct
finance_test_0094,finance_context_015,finance,contradicted,1,assistant_draft_high,all_correct,"Para, devletler tarafından üretilir.",contradicted,True,contradicted,True
finance_test_0095,finance_context_006,finance,contradicted,1,assistant_draft_high,only_XLM-R-large XNLI_correct,"İhracatçı ülke, karşı ülkenin ithalat engellerine karşılık vermez.",unverifiable,False,contradicted,True
finance_test_0096,finance_context_039,finance,supported,4,assistant_draft_high,all_correct,"Merkezi karşı taraf, her alıcıya karşı satıcı ve her satıcıya karşı alıcı konumuna geçerek takası garanti eder ve karşı taraf riskini merkezileştirir.",supported,True,supported,True
finance_test_0110,finance_context_001,finance,supported,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"Ilımlı enflasyon, ekonomileri hem olumlu hem de olumsuz yönde etkiler.",supported,True,unverifiable,False
finance_test_0112,finance_context_022,finance,contradicted,2,assistant_draft_high,only_XLM-R-large XNLI_correct,Sermaye piyasasında derecelendirme yalnız şirketlerin satış büyümesini ölçer ve Kurulca yetkilendirme gerektirmez.,partially_supported,False,contradicted,True
finance_test_0120,finance_context_016,finance,unverifiable,1,assistant_draft_high,all_wrong,Reel sektör etkisinin bankacılık sektörüne yansıma süresi büyüme hedefinin gerçekleşmesine bağlıdır.,supported,False,supported,False
finance_test_0129,finance_context_034,finance,partially_supported,3,assistant_draft_high,all_correct,Yatırım fonları çeşitlendirme ve profesyonel yönetim sağlar. Ücretleri doğrudan yatırımdan düşüktür.,partially_supported,True,partially_supported,True
finance_test_0136,finance_context_003,finance,unverifiable,1,assistant_draft_high,all_correct,"Para politikasının yönü, bütçe açığına göre her üç yılda bir otomatik olarak değiştirilir.",unverifiable,True,unverifiable,True
finance_test_0147,finance_context_040,finance,partially_supported,3,assistant_draft_high,all_wrong,Enflasyon sabit gelirlileri ve alacaklıları olumsuz etkiler. Borçluların yükünü artırır.,supported,False,unverifiable,False
finance_test_0149,finance_context_035,finance,supported,4,needs_review,all_correct,"Kredi, bir tarafın diğer tarafa para veya kaynak sağlamasına izin veren ve ikinci tarafın birinci tarafa hemen geri ödeme yapmadığı borç ve güvendir.",supported,True,supported,True
finance_test_0151,finance_context_015,finance,supported,1,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"Para, bankalar tarafından müşterilerin borçlanmasıyla üretilir.",supported,True,unverifiable,False
finance_test_0152,finance_context_011,finance,unverifiable,1,assistant_draft_high,all_correct,Toplam gelir hesaplamasında tüketim göstergesine en yüksek ağırlık verilir.,unverifiable,True,unverifiable,True
finance_test_0158,finance_context_003,finance,contradicted,2,approved,all_wrong,"Daraltıcı para politikası, ekonomideki toplam para arzının azaltılmasıyla birlikte enflasyon oranını yükseltmektedir.",partially_supported,False,partially_supported,False
finance_test_0162,finance_context_003,finance,supported,1,assistant_draft_high,all_correct,"Genişletici para politikası, ekonomideki durgunluk dönemlerinde ortaya çıkan işsizliği yenmek amacıyla uygulanır.",supported,True,supported,True
finance_test_0165,finance_context_001,finance,partially_supported,2,approved,only_mDeBERTa-v3-base 2mil7_correct,Ilımlı enflasyon işsizliği azaltabilir. Tasarrufları da artırır.,partially_supported,True,unverifiable,False
finance_test_0167,finance_context_029,finance,unverifiable,1,approved,all_wrong,"Eşzamanlı olmayan arbitraj işlemlerindeki risk, fiyat farkından elde edilen kârdan yüksektir.",supported,False,contradicted,False
finance_test_0168,finance_context_020,finance,contradicted,1,assistant_draft_high,all_correct,"Bir şirketin hisselerinin tamamı, o şirketin sermayesini temsil etmez.",contradicted,True,contradicted,True
finance_test_0171,finance_context_016,finance,partially_supported,2,assistant_draft_high,all_correct,Maliye politikası tam istihdamı hedefler. Kararları özel bankalar alır.,partially_supported,True,partially_supported,True
finance_test_0179,finance_context_009,finance,partially_supported,3,assistant_draft_high,all_correct,Mikroekonomi tüketici ve firmaları inceler. Millî geliri temel analiz birimi sayar.,partially_supported,True,partially_supported,True
finance_test_0188,finance_context_020,finance,unverifiable,1,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"Hisse sahipliği, noter tarafından verilen bir ruhsatla kazanılır.",unverifiable,True,supported,False
finance_test_0192,finance_context_018,finance,unverifiable,1,assistant_draft_high,all_correct,"Kambiyo senetlerinin geçerliliği, senetlerin üzerinde yazılı olan özel bir şifre sayesinde sağlanmaktadır.",unverifiable,True,unverifiable,True
finance_test_0199,finance_context_005,finance,partially_supported,2,assistant_draft_high,all_correct,Nominal kur iki para arasındaki fiyatı gösterir. Değişimi doğrudan ekonomik büyümeyle belirlenir.,partially_supported,True,partially_supported,True
finance_test_0200,finance_context_037,finance,contradicted,1,assistant_draft_high,all_correct,İspanyol altın ve gümüş akışının fiyat devrimiyle ilişkisi yoktur.,contradicted,True,contradicted,True
finance_v2b1_example_001_contradicted,finance_v2b1_context_001,finance,contradicted,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Portföy saklayıcısı fon varlıklarını kendi aktiflerinde gösterebilir. Varlıkları kuruluşa ait ayrı hesaplarda izlemek zorunda değildir.,contradicted,True,partially_supported,False
finance_v2b1_example_002_partially_supported,finance_v2b1_context_002,finance,partially_supported,3,assistant_draft_high,all_correct,İhraççı proje seçimini ve fon kullanımını bir çerçeve belgesinde açıklar. Fon kullanımına ilişkin rapor yalnız ihraçtan önce bir kez yayımlanır.,partially_supported,True,partially_supported,True
finance_v2b1_example_002_unverifiable,finance_v2b1_context_002,finance,unverifiable,2,assistant_draft_high,all_correct,Yeşil tahvil alan bireysel yatırımcılara gelir vergisi indirimi uygulanır. Bu avantajdan yararlanmak için ayrıca başvuru yapılması gerekmez.,unverifiable,True,unverifiable,True
finance_v2b1_example_003_supported,finance_v2b1_context_003,finance,supported,4,assistant_draft_high,all_correct,Yeni sürüm kart bilgileri ve hareketlerine ilişkin özellikler ekler. Ayrıca ileri tarihli ve düzenli ödeme emirlerinin başlatılmasını destekler.,supported,True,supported,True
finance_v2b2_example_001_contradicted,finance_v2b2_context_001,finance,contradicted,4,assistant_draft_high,all_correct,Uygunluk ve yerindelik testleri ancak yatırım hizmeti tamamlandıktan sonra yapılır. Her iki test yalnız profesyonel müşterilere uygulanır.,contradicted,True,contradicted,True
finance_v2b2_example_003_contradicted,finance_v2b2_context_003,finance,contradicted,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,İşverenin çalışanı sisteme dâhil etmesi isteğe bağlıdır ve katkı payı bütün çalışanlar için kazancın yüzde onu olarak kesilir.,contradicted,True,partially_supported,False
finance_v2b2_example_004_contradicted,finance_v2b2_context_004,finance,contradicted,2,assistant_draft_high,all_correct,Elektronik para kuruluşları elektronik para ihraç edemez ve faaliyet gösterebilmek için yalnız ticaret siciline kaydolmaları yeterlidir.,contradicted,True,contradicted,True
finance_v2b2_example_004_partially_supported,finance_v2b2_context_004,finance,partially_supported,2,assistant_draft_high,all_correct,Elektronik para kuruluşları elektronik para ihraç edebilir. Faaliyet izni alan her kuruluş bütün ödeme hizmetlerini sınırsız biçimde sunabilir.,partially_supported,True,partially_supported,True
finance_v2b3_example_001_supported,finance_v2b3_context_001,finance,supported,3,assistant_draft_high,all_wrong,Devre kesici ilgili sırayı tek fiyat emir toplamaya geçirir. Eşleşme sonrası işlemler yeniden başlar. BIST 100 yüzde altı düştüğünde endeks sistemi çalışır.,partially_supported,False,partially_supported,False
finance_v2b3_example_002_contradicted,finance_v2b3_context_002,finance,contradicted,4,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"Gerçeğe uygun bir açıklama, menfaat sağlanmasa ve yatırımcı kararlarını etkileme amacı bulunmasa bile bilgi bazlı piyasa dolandırıcılığı sayılır. Fiilin amacı ve sağlanan menfaat değerlendirmede dikkate alınmaz.",contradicted,True,partially_supported,False
finance_v2b3_example_002_unverifiable,finance_v2b3_context_002,finance,unverifiable,2,assistant_draft_high,only_XLM-R-large XNLI_correct,SPK menfaat tutarını yalnız banka hareketlerinden hesaplar. İnceleme raporu tamamlandıktan sonra şirket tarafından kamuya açıklanır.,contradicted,False,unverifiable,True
finance_v2b3_example_004_partially_supported,finance_v2b3_context_004,finance,partially_supported,2,assistant_draft_high,all_correct,Yatırım kuruluşunun yatırımcıya ait sermaye piyasası aracını teslim etmemesi tazmin kapsamına girebilir. Piyasadaki fiyat düşüşünden doğan zararlar da YTM tarafından ödenir.,partially_supported,True,partially_supported,True
finance_v2b3_example_005_supported,finance_v2b3_context_005,finance,supported,3,assistant_draft_high,all_correct,"Fonun tüzel kişiliği yoktur, payları nitelikli yatırımcılara yöneliktir ve değerinin en az yüzde sekseni gayrimenkul yatırımlarından oluşur.",supported,True,supported,True
finance_v2b4_example_001_partially_supported,finance_v2b4_context_001,finance,partially_supported,3,assistant_draft_high,all_correct,Fonun alacakları toplam değere eklenir ve borçları düşülür. Katılma payı sahibi fon yönetiminde oy kullanabilir.,partially_supported,True,partially_supported,True
finance_v2b4_example_004_contradicted,finance_v2b4_context_004,finance,contradicted,2,assistant_draft_high,all_wrong,Yatırım danışmanlığında müşteri nakdini danışmana teslim eder ve portföydeki bütün işlemleri danışman tek başına yürütür.,partially_supported,False,partially_supported,False
finance_v2b4_example_005_supported,finance_v2b4_context_005,finance,supported,4,approved,all_correct,"2020/7 sayılı Tebliğ, faiz veya kâr payı dışındaki ücret, komisyon ve masraf türleri ile uygulanma esaslarını düzenler.",supported,True,supported,True
finance_v2b5_example_001_partially_supported,finance_v2b5_context_001,finance,partially_supported,3,assistant_draft_high,all_correct,Yatırımcı blokaj talimatını e-YATIRIMCI üzerinden verebilir. Para piyasası fonları da diğer menkul kıymet sınıflarıyla birlikte blokaja alınabilir.,partially_supported,True,partially_supported,True
finance_v2b5_example_001_unverifiable,finance_v2b5_context_001,finance,unverifiable,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Yatırımcı blokajı otuz gün sonunda kendiliğinden sona erer. Blokaj işlemi başına hesaptan yirmi beş lira hizmet bedeli kesilir.,unverifiable,True,contradicted,False
finance_v2b5_example_003_supported,finance_v2b5_context_003,finance,supported,3,approved,all_correct,"Teminat, sözleşmeler ayrı ayrı değerlendirilmeden portföyün toplam riski üzerinden hesaplanır. Kullanılabilir teminat negatife düştüğünde yeni emirler mevcut pozisyonu azaltacak yönde olmalıdır.",supported,True,supported,True
finance_v2b6_example_001_supported,finance_v2b6_context_001,finance,supported,4,assistant_draft_high,all_correct,"Katılımcı üç yılda devlet katkısının yüzde on beşine, altı yılda yüzde otuz beşine, on yılda yüzde altmışına ve emeklilikte tamamına hak kazanabilir.",supported,True,supported,True
finance_v2b6_example_001_unverifiable,finance_v2b6_context_001,finance,unverifiable,2,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Devlet katkısı alt hesabındaki birikim katılımcının seçtiği banka mevduatına yönlendirilir ve hesap sahibi fon dağılımını günlük olarak değiştirebilir.,unverifiable,True,partially_supported,False
finance_v2b6_example_002_supported,finance_v2b6_context_002,finance,supported,2,assistant_draft_high,all_correct,Borsa yatırım fonunun portföyünün en az yüzde sekseni izlenen endeks kapsamındaki varlıklardan oluşturulur ve katılma payları ikincil piyasada Borsa İstanbul'da alınıp satılabilir.,supported,True,supported,True
finance_v2b6_example_004_partially_supported,finance_v2b6_context_004,finance,partially_supported,3,assistant_draft_high,only_XLM-R-large XNLI_correct,Rapor e-Devlet üzerinden talep edilebilir ve protestolu senet bilgilerini gösterebilir. Kullanıcılar aynı gün sınırsız sayıda ücretsiz rapor oluşturabilir.,supported,False,partially_supported,True
finance_v2b6_example_004_unverifiable,finance_v2b6_context_004,finance,unverifiable,1,assistant_draft_high,all_correct,Risk Merkezi raporunda kişinin gelecekte hangi sektörlerde iş bulabileceğine ilişkin finansal davranış tahmini yer alır.,unverifiable,True,unverifiable,True
finance_v2b7_example_001_unverifiable,finance_v2b7_context_001,finance,unverifiable,2,assistant_draft_high,only_XLM-R-large XNLI_correct,Talep tutarı alıcının hesabında bloke tutulur. Blokaj ödeme tamamlanınca kaldırılır.,contradicted,False,unverifiable,True
finance_v2b7_example_002_partially_supported,finance_v2b7_context_002,finance,partially_supported,2,assistant_draft_high,all_correct,Karşılanmayan emirler iptal edilebilir. Borsa İstanbul'da işlem gören payların tamamı ek karar aranmadan repo pazarına alınır.,partially_supported,True,partially_supported,True
finance_v2b7_example_004_unverifiable,finance_v2b7_context_004,finance,unverifiable,1,assistant_draft_high,all_correct,"Firmanın çalışan sayısı, reeskont kredi limitine uygulanan katsayılardan biridir.",unverifiable,True,unverifiable,True
finance_v2b7_example_005_partially_supported,finance_v2b7_context_005,finance,partially_supported,3,assistant_draft_high,all_correct,Mevduat ve katılım fonları 950.000 TL'ye kadar sigortalanır. Limit kişinin farklı bankalardaki hesapları için ortak bir toplam olarak uygulanır.,partially_supported,True,partially_supported,True
finance_v2b8_example_001_unverifiable,finance_v2b8_context_001,finance,unverifiable,1,assistant_draft_high,all_correct,e-GKS üzerinden oy kullanan yatırımcının temettüsü toplantı bittikten sonra yirmi dört saat içinde otomatik olarak hesabına aktarılır.,unverifiable,True,unverifiable,True
finance_v2b8_example_002_partially_supported,finance_v2b8_context_002,finance,partially_supported,2,assistant_draft_high,all_correct,e-YKS’de kararlar elektronik ortamda saklanabilir. Hizmetten yalnız payları borsada işlem gören anonim şirketler yararlanabilir.,partially_supported,True,partially_supported,True
finance_v2b8_example_002_supported,finance_v2b8_context_002,finance,supported,3,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"e-YKS toplantı belgelerinin paylaşılmasını, üyelerin elektronik oy kullanmasını ve yönetim kurulu kararlarının elektronik ortamda saklanmasını destekler.",supported,True,partially_supported,False
finance_v2b8_example_003_contradicted,finance_v2b8_context_003,finance,contradicted,2,assistant_revised_high,all_correct,İleri valörlü fonlar işlem günü bütün platformlarda anında alınır. Fon alımına kadar herhangi bir bekleme veya geçiş süreci bulunmaz.,contradicted,True,contradicted,True
finance_v2b8_example_005_contradicted,finance_v2b8_context_005,finance,contradicted,3,assistant_draft_high,only_XLM-R-large XNLI_correct,Ödünç işlemleri T+2 valörle yapılır ve beş yüz gramlık miktarlar kabul edilir. Gerçekleşmeyen emirler sonraki seansa taşınır.,supported,False,contradicted,True
finance_v2b8_example_005_supported,finance_v2b8_context_005,finance,supported,3,assistant_draft_high,all_correct,Piyasada alt işlem miktarı beş kilogramdır ve emirler bir kilogramın katlarıyla artırılır. İşlemler aynı gün valörlüdür.,supported,True,supported,True
legal_test_0015,legal_context_001,legal,contradicted,1,approved,only_mDeBERTa-v3-base 2mil7_correct,Haksız fiilin varlığı için hukuka aykırılık unsuru şart değildir.,contradicted,True,supported,False
legal_test_0019,legal_context_010,legal,unverifiable,1,assistant_draft_medium,all_correct,Aynı meslek grubu ve kurumda bulunmak taraflar arasındaki sözleşmenin geçerlilik koşuludur.,unverifiable,True,unverifiable,True
legal_test_0022,legal_context_027,legal,unverifiable,1,assistant_draft_high,all_correct,Deniz ticareti davaları deniz özel hukuku dosyalarının yarısından fazlasını oluşturur.,unverifiable,True,unverifiable,True
legal_test_0029,legal_context_008,legal,contradicted,2,assistant_draft_high,all_wrong,Türk Ceza Kanunu'na göre 12 yaşını doldurmamış çocuklar hakkında kovuşturma yapılması ve ceza verilmesi mümkündür.,partially_supported,False,supported,False
legal_test_0030,legal_context_030,legal,unverifiable,1,assistant_draft_high,all_correct,Medeni hukuk Cermen halkları tarafından 12. yüzyılın sonlarında geliştirilmiştir.,unverifiable,True,unverifiable,True
legal_test_0035,legal_context_007,legal,partially_supported,3,approved,all_correct,İnsan hakları bireye bağımsız seçim yapma ve yeteneklerini geliştirme özgürlüğü verir. Özgürlüklerin kullanımında kişiye sorumluluk yüklenmez.,partially_supported,True,partially_supported,True
legal_test_0042,legal_context_v2_021_etebligat,legal,supported,5,assistant_draft_high,all_correct,"UETS. Gönderici ve alıcı teyidini, içeriğin değişmediğini ve gönderim ile alım zamanlarını güvenli kayıtlarla doğrular.",supported,True,supported,True
legal_test_0043,legal_context_010,legal,supported,4,assistant_draft_medium,only_mDeBERTa-v3-base 2mil7_correct,Sözleşmelerin geçerli olabilmesi için tarafların irade beyanlarının karşılıklı ve birbiriyle uyum içinde olması ve tarafların özgür iradeleriyle ve bilinçli olarak yapmış olmaları gereklidir.,supported,True,unverifiable,False
legal_test_0069,legal_context_009,legal,contradicted,1,assistant_draft_high,all_correct,Şüpheli ve sanık terimleri hukuken eş anlamlıdır.,contradicted,True,contradicted,True
legal_test_0071,legal_context_016,legal,contradicted,2,assistant_draft_medium,all_correct,"Patent Yasalarının amacı, buluş yapmayı ve yenilikleri teşvik etmek için gerekli olan korumayı azaltmaktır.",contradicted,True,contradicted,True
legal_test_0074,legal_context_033,legal,partially_supported,3,assistant_draft_high,all_correct,"Mahkemeler ortak hukuk ve medeni hukuk sistemlerinde merkezi araçlardır, ancak yalnız askerî uyuşmazlıkları karara bağlar.",partially_supported,True,partially_supported,True
legal_test_0079,legal_context_v2_021_etebligat,legal,contradicted,1,assistant_draft_medium,only_XLM-R-large XNLI_correct,SMS ya da e-posta bilgilendirmesi alıcıya ulaşmazsa elektronik tebligat geçersiz olur.,supported,False,contradicted,True
legal_test_0091,legal_context_011,legal,unverifiable,1,assistant_draft_high,only_XLM-R-large XNLI_correct,Kamulaştırma bedelinde taşınmazın konumu belirleyici ölçüttür.,supported,False,unverifiable,True
legal_test_0093,legal_context_004,legal,partially_supported,3,assistant_draft_high,all_correct,Hukuk devleti vatandaşları keyfi uygulamalardan korur ve kamu gücünü hukuk düzenine bağlar. Bu yönetim anlayışı ekonomik eşitsizlikleri ortadan kaldırır.,partially_supported,True,partially_supported,True
legal_test_0099,legal_context_004,legal,contradicted,1,assistant_draft_high,all_correct,"Hukuk devleti, vatandaşları keyfi uygulamalardan korumak için yasalarla tanımlanmaz.",contradicted,True,contradicted,True
legal_test_0117,legal_context_030,legal,contradicted,2,approved,only_XLM-R-large XNLI_correct,Medeni hukukun uygulama alanı Britanya’dır. Kara Avrupası’nda uygulanmaz.,partially_supported,False,contradicted,True
legal_test_0122,legal_context_025,legal,unverifiable,2,approved,all_wrong,Zarar görenin mesleği ve kıdemi tazminat tarifesini belirleyen unsurlardır.,supported,False,contradicted,False
legal_test_0124,legal_context_003,legal,supported,1,approved,only_mDeBERTa-v3-base 2mil7_correct,Avukatların faaliyette bulunması için baroya kaydolmaları zorunludur.,supported,True,unverifiable,False
legal_test_0126,legal_context_024,legal,unverifiable,1,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Anayasa hükümlerinin yürürlükte kalması yıllık ulusal halkoylamasına bağlıdır.,unverifiable,True,supported,False
legal_test_0132,legal_context_003,legal,contradicted,1,assistant_draft_high,all_correct,Avukatların çalışma alanı özel şirketlerle sınırlıdır.,contradicted,True,contradicted,True
legal_test_0137,legal_context_016,legal,supported,4,assistant_draft_high,only_XLM-R-large XNLI_correct,"Patent, buluş sahibine 3. kişilerin ürünü belirli süre üretmesini, kullanmasını, satmasını veya ithal etmesini engelleme hakkı verir.",unverifiable,False,supported,True
legal_test_0141,legal_context_017,legal,supported,1,assistant_draft_high,all_correct,Roma hukukunda hırsızlık suçunun medeni ve cezai yönleri birbirine karıştırılıyordu.,supported,True,supported,True
legal_test_0151,legal_context_015,legal,supported,2,assistant_draft_high,all_correct,Telif hakkı eser üretildiğinde kendiliğinden doğar. Doğması için tescil gerekli değildir.,supported,True,supported,True
legal_test_0162,legal_context_005,legal,contradicted,1,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,"Kamu ve özel hukuk ayrımı, mahkeme seçimini etkilemeyen teorik bir ayrımdır.",contradicted,True,unverifiable,False
legal_test_0166,legal_context_039,legal,partially_supported,3,assistant_draft_high,all_correct,Sosyal adalet sosyal mobiliteyle ilişkilidir ve bütün teorileri eşitliği savunmaz. Kozmopolitlikle arasında kavramsal bir fark yoktur.,partially_supported,True,partially_supported,True
legal_test_0173,legal_context_039,legal,unverifiable,2,assistant_draft_high,only_XLM-R-large XNLI_correct,Yaş grubu ve medeni durum sosyal adalet kuramlarındaki ayrıcalık dağıtımını belirler.,partially_supported,False,unverifiable,True
legal_test_0180,legal_context_024,legal,partially_supported,3,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Anayasa devletin temel organlarını ve temel hakların sınırlarını belirler. Kanunların kabul tarihlerini de düzenler.,partially_supported,True,supported,False
legal_test_0181,legal_context_030,legal,supported,5,assistant_draft_medium,all_correct,"Medeni hukuk kişiler, aile, miras, eşya ve borçlar hukuku olmak üzere 5 dala ayrılır.",supported,True,supported,True
legal_test_0182,legal_context_017,legal,unverifiable,1,assistant_draft_high,all_correct,Yeniden canlanma dönemindeki hukuk metinlerinin üçte ikisi ceza hukukuna ilişkindir.,unverifiable,True,unverifiable,True
legal_test_0194,legal_context_033,legal,supported,2,assistant_draft_high,all_correct,Mahkemeler hem ortak hukuk hem de medeni hukuk sistemlerinde uyuşmazlıkların çözümü için merkezi araçlardır.,supported,True,supported,True
legal_test_0195,legal_context_003,legal,unverifiable,1,assistant_draft_high,all_correct,Avukatların görev yerleri 10 yıllık kıdem puanına göre merkezi kurulca belirlenir.,unverifiable,True,unverifiable,True
legal_test_0200,legal_context_007,legal,supported,2,assistant_draft_high,all_correct,"İnsan hakları, her bir bireye bağımsız seçim yapma ve yeteneklerini geliştirme özgürlüğü sağlar.",supported,True,supported,True
legal_v2b1_example_002_supported,legal_v2b1_context_002,legal,supported,2,assistant_draft_high,all_correct,KDK'ya başvurmadan önce ilgili idareye itiraz edilmesi gerekir ve aynı konu dava konusu olmuşsa Kurum başvuruyu incelemez.,supported,True,supported,True
legal_v2b1_example_003_contradicted,legal_v2b1_context_003,legal,contradicted,2,assistant_draft_high,all_correct,Çocukla görüşme hakkını kullanmak isteyen ebeveyn önce icra dairesine başvurmalı ve teslim işleminin bütün giderlerini kendisi ödemelidir.,contradicted,True,contradicted,True
legal_v2b1_example_003_unverifiable,legal_v2b1_context_003,legal,unverifiable,1,approved,all_correct,Çocuk görüşme merkezindeki görüşmelere bir pedagog ve bir sosyal hizmet uzmanı birlikte katılır.,unverifiable,True,unverifiable,True
legal_v2b1_example_005_partially_supported,legal_v2b1_context_005,legal,partially_supported,3,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Cinsel suç veya aile içi şiddet mağdurlarının beyanı bu odalarda alınabilir. Mahkemedeki bütün duruşmaların Adli Görüşme Odasında yapılması zorunludur.,partially_supported,True,contradicted,False
legal_v2b2_example_002_unverifiable,legal_v2b2_context_002,legal,unverifiable,2,assistant_draft_high,all_correct,Tüketici hakem heyetleri bütün başvuruları on dört gün içinde sonuçlandırır ve kararlarına karşı hiçbir kanun yolu bulunmaz.,unverifiable,True,unverifiable,True
legal_v2b2_example_003_contradicted,legal_v2b2_context_003,legal,contradicted,3,assistant_draft_high,only_XLM-R-large XNLI_correct,Ekonomik ve psikolojik şiddet 6284 kapsamına girmez. Koruyucu tedbir isteyen kişi başvuru harcı ödemek zorundadır.,partially_supported,False,contradicted,True
legal_v2b2_example_003_supported,legal_v2b2_context_003,legal,supported,3,assistant_draft_medium,all_correct,"Şiddet mağduru, kolluk veya savcılığa başvurarak yaklaşmama ve iletişimle rahatsız etmeme gibi tedbirler talep edebilir. Bu işlemler ücretsizdir.",supported,True,supported,True
legal_v2b3_example_001_contradicted,legal_v2b3_context_001,legal,contradicted,4,assistant_draft_high,only_mDeBERTa-v3-base 2mil7_correct,Adli yardım yalnız dava açılmadan önce ve sadece Yargıtaydan talep edilebilir. İlk derece veya bölge adliye mahkemesi aşamasında başvuru yapılamaz.,contradicted,True,partially_supported,False
legal_v2b3_example_003_contradicted,legal_v2b3_context_003,legal,contradicted,4,assistant_draft_high,all_wrong,Tüketici cayarken mutlaka gerekçe göstermek ve ceza ödemek zorundadır. Satıcı bedeli ancak altmış gün sonra iade eder ve mal teslim edilmeden cayma hakkı kullanılamaz.,partially_supported,False,partially_supported,False
legal_v2b3_example_004_supported,legal_v2b3_context_004,legal,supported,2,assistant_draft_medium,all_correct,"İhlal en geç yetmiş iki saat içinde Kurula bildirilir. Etkilenen kişilere, iletişim bilgisine göre doğrudan veya internet sitesi üzerinden en kısa sürede ulaşılır.",supported,True,supported,True
legal_v2b3_example_005_partially_supported,legal_v2b3_context_005,legal,partially_supported,2,assistant_draft_high,all_correct,Belirli süreli abonelik ancak tüketicinin onayıyla uzatılabilir. Planlı kesintiyi hizmet sağlayıcının yalnız yirmi dört saat önce bildirmesi yeterlidir.,partially_supported,True,partially_supported,True
legal_v2b4_example_001_partially_supported,legal_v2b4_context_001,legal,partially_supported,2,assistant_draft_high,all_correct,Sicile kayıtla yükümlü veri sorumluları politika hazırlamalıdır. Belge yalnız kişisel verilerin yurt dışına aktarımını düzenler.,partially_supported,True,partially_supported,True
